coin,entry_time,exit_time,entry_price,exit_price,position_size,price_return,gross_pnl,fees,net_pnl,bankroll_after,trade_number
ETHUSDC,2024-11-06 01:00:00+00:00,2024-11-06 02:00:00+00:00,2485.54,2568.78,25.0,0.03348970445054203,0.8372426112635507,0.05083724261126356,0.7864053686522872,26.786405368652286,1
ETHUSDC,2025-01-15 12:00:00+00:00,2025-01-15 13:00:00+00:00,3198.19,3298.6,25.0,0.031395883296489534,0.7848970824122383,0.05078489708241224,0.734112185329826,27.520517553982113,2
ETHUSDC,2025-01-20 05:00:00+00:00,2025-01-20 06:00:00+00:00,3266.91,3409.82,25.0,0.04374470064984965,1.0936175162462414,0.05109361751624625,1.0425238987299952,28.56304145271211,3
ETHUSDC,2025-02-03 06:00:00+00:00,2025-02-03 07:00:00+00:00,2516.0,2624.59,25.0,0.04315977742448336,1.078994435612084,0.05107899443561209,1.027915441176472,29.59095689388858,4
ETHUSDC,2025-02-03 14:00:00+00:00,2025-02-03 15:00:00+00:00,2579.32,2704.47,25.0,0.04852054029744259,1.2130135074360648,0.05121301350743607,1.1618004939286288,30.75275738781721,5
ETHUSDC,2025-02-03 20:00:00+00:00,2025-02-03 21:00:00+00:00,2769.2,2819.95,25.0,0.018326592517694643,0.4581648129423661,0.050458164812942366,0.40770664812942375,31.16046403594663,6
ETHUSDC,2025-03-02 15:00:00+00:00,2025-03-02 16:00:00+00:00,2195.7,2442.89,25.0,0.11257913193970036,2.8144782984925087,0.052814478298492507,2.7616638201940162,33.92212785614065,7
ETHUSDC,2025-04-08 00:00:00+00:00,2025-04-08 01:00:00+00:00,1552.43,1590.7,25.0,0.024651675115786205,0.6162918778946551,0.050616291877894654,0.5656755860167605,34.48780344215741,8
ETHUSDC,2025-04-09 16:00:00+00:00,2025-04-09 17:00:00+00:00,1483.95,1632.5,25.0,0.10010445095859022,2.5026112739647557,0.05250261127396476,2.450108662690791,36.937912104848195,9
ETHUSDC,2025-04-22 20:00:00+00:00,2025-04-22 21:00:00+00:00,1699.63,1754.9,25.0,0.032518842336273175,0.8129710584068294,0.05081297105840683,0.7621580873484225,37.70007019219662,10
ETHUSDC,2025-05-08 15:00:00+00:00,2025-05-08 16:00:00+00:00,1990.24,2050.98,25.0,0.030518932390063515,0.7629733097515878,0.05076297330975159,0.7122103364418363,38.412280528638455,11
ETHUSDC,2025-05-08 19:00:00+00:00,2025-05-08 20:00:00+00:00,2067.75,2185.11,25.0,0.0567573449401524,1.4189336235038101,0.05141893362350382,1.3675146898803063,39.779795218518764,12
ETHUSDC,2025-07-10 20:00:00+00:00,2025-07-10 21:00:00+00:00,2818.2,2973.19,25.0,0.054996096799375574,1.3749024199843893,0.051374902419984395,1.323527517564405,41.10332273608317,13
ETHUSDC,2025-08-22 13:00:00+00:00,2025-08-22 14:00:00+00:00,4244.71,4613.42,25.0,0.08686341351941594,2.1715853379853987,0.052171585337985396,2.119413752647413,43.22273648873058,14
