entry_hour,total_trades,unique_coins,coins_list,first_entry,last_exit
2024-11-06 01:00:00+00:00,3,3,"['ETHUSDC', 'ADAUSDC', 'DOGEUSDC']",2024-11-06 01:00:00+00:00,2024-11-06 02:00:00+00:00
2024-11-13 13:00:00+00:00,2,2,"['ADAUSDC', 'DOGEUSDC']",2024-11-13 13:00:00+00:00,2024-11-13 14:00:00+00:00
2024-11-18 00:00:00+00:00,2,2,"['ADAUSDC', 'XRPUSDC']",2024-11-18 00:00:00+00:00,2024-11-18 01:00:00+00:00
2024-12-02 12:00:00+00:00,2,2,"['ADAUSDC', 'XRPUSDC']",2024-12-02 12:00:00+00:00,2024-12-02 13:00:00+00:00
2024-12-02 13:00:00+00:00,2,2,"['ADAUSDC', 'XRPUSDC']",2024-12-02 13:00:00+00:00,2024-12-02 14:00:00+00:00
2024-12-02 14:00:00+00:00,2,2,"['ADAUSDC', 'XRPUSDC']",2024-12-02 14:00:00+00:00,2024-12-02 15:00:00+00:00
2024-12-05 01:00:00+00:00,2,2,"['BTCUSDC', 'ADAUSDC']",2024-12-05 01:00:00+00:00,2024-12-05 02:00:00+00:00
2024-12-10 17:00:00+00:00,2,2,"['ADAUSDC', 'XRPUSDC']",2024-12-10 17:00:00+00:00,2024-12-10 18:00:00+00:00
2024-12-20 10:00:00+00:00,2,2,"['ETHUSDC', 'ADAUSDC']",2024-12-20 10:00:00+00:00,2024-12-20 11:00:00+00:00
2024-12-20 11:00:00+00:00,4,4,"['DOGEUSDC', 'XRPUSDC', 'ETHUSDC', 'ADAUSDC']",2024-12-20 11:00:00+00:00,2024-12-20 12:00:00+00:00
2024-12-20 12:00:00+00:00,2,2,"['DOGEUSDC', 'ADAUSDC']",2024-12-20 12:00:00+00:00,2024-12-20 13:00:00+00:00
2025-01-15 12:00:00+00:00,3,3,"['ETHUSDC', 'XRPUSDC', 'DOGEUSDC']",2025-01-15 12:00:00+00:00,2025-01-15 13:00:00+00:00
2025-01-20 05:00:00+00:00,2,2,"['ETHUSDC', 'BTCUSDC']",2025-01-20 05:00:00+00:00,2025-01-20 06:00:00+00:00
2025-02-03 02:00:00+00:00,3,3,"['DOGEUSDC', 'XRPUSDC', 'ADAUSDC']",2025-02-03 02:00:00+00:00,2025-02-03 03:00:00+00:00
2025-02-03 04:00:00+00:00,3,3,"['ADAUSDC', 'XRPUSDC', 'DOGEUSDC']",2025-02-03 04:00:00+00:00,2025-02-03 05:00:00+00:00
2025-02-03 06:00:00+00:00,4,4,"['XRPUSDC', 'ADAUSDC', 'DOGEUSDC', 'ETHUSDC']",2025-02-03 06:00:00+00:00,2025-02-03 07:00:00+00:00
2025-02-03 09:00:00+00:00,2,2,"['DOGEUSDC', 'ADAUSDC']",2025-02-03 09:00:00+00:00,2025-02-03 10:00:00+00:00
2025-02-03 13:00:00+00:00,2,2,"['DOGEUSDC', 'ADAUSDC']",2025-02-03 13:00:00+00:00,2025-02-03 14:00:00+00:00
2025-02-03 14:00:00+00:00,4,4,"['DOGEUSDC', 'ETHUSDC', 'XRPUSDC', 'ADAUSDC']",2025-02-03 14:00:00+00:00,2025-02-03 15:00:00+00:00
2025-02-03 20:00:00+00:00,2,2,"['ETHUSDC', 'DOGEUSDC']",2025-02-03 20:00:00+00:00,2025-02-03 21:00:00+00:00
2025-03-02 15:00:00+00:00,3,3,"['BTCUSDC', 'ADAUSDC', 'ETHUSDC']",2025-03-02 15:00:00+00:00,2025-03-02 16:00:00+00:00
2025-03-03 09:00:00+00:00,2,2,"['ADAUSDC', 'XRPUSDC']",2025-03-03 09:00:00+00:00,2025-03-03 10:00:00+00:00
2025-03-10 18:00:00+00:00,2,2,"['ADAUSDC', 'DOGEUSDC']",2025-03-10 18:00:00+00:00,2025-03-10 19:00:00+00:00
2025-03-11 00:00:00+00:00,2,2,"['DOGEUSDC', 'ADAUSDC']",2025-03-11 00:00:00+00:00,2025-03-11 01:00:00+00:00
2025-03-11 14:00:00+00:00,2,2,"['ADAUSDC', 'DOGEUSDC']",2025-03-11 14:00:00+00:00,2025-03-11 15:00:00+00:00
2025-04-07 12:00:00+00:00,3,3,"['ADAUSDC', 'XRPUSDC', 'DOGEUSDC']",2025-04-07 12:00:00+00:00,2025-04-07 13:00:00+00:00
2025-04-09 16:00:00+00:00,5,5,"['DOGEUSDC', 'ETHUSDC', 'XRPUSDC', 'BTCUSDC', 'ADAUSDC']",2025-04-09 16:00:00+00:00,2025-04-09 17:00:00+00:00
2025-06-23 21:00:00+00:00,2,2,"['DOGEUSDC', 'XRPUSDC']",2025-06-23 21:00:00+00:00,2025-06-23 22:00:00+00:00
2025-08-22 13:00:00+00:00,3,3,"['ETHUSDC', 'DOGEUSDC', 'XRPUSDC']",2025-08-22 13:00:00+00:00,2025-08-22 14:00:00+00:00
